db,native,term_name,pvalue,significant,description,term_size,query_size,overlap,effective_domain_size,precision,recall,query,parents,term_id,fdr,intersection_genes
KEGG,KEGG:04151,PI3K-Akt signaling pathway,9.187947141537863e-13,True,PI3K-Akt signaling pathway,356,10,10,8484,1.0,0.028089887640449437,query_1,['KEGG:00000'],KEGG:04151,,
KEGG,KEGG:05230,Central carbon metabolism in cancer,1.3820769155457384e-11,True,Central carbon metabolism in cancer,70,10,7,8484,0.7,0.1,query_1,['KEGG:00000'],KEGG:05230,,
KEGG,KEGG:05224,Breast cancer,1.7999953596378627e-11,True,Breast cancer,147,10,8,8484,0.8,0.05442176870748299,query_1,['KEGG:00000'],KEGG:05224,,
KEGG,KEGG:05215,Prostate cancer,1.4686261761972382e-10,True,Prostate cancer,97,10,7,8484,0.7,0.07216494845360824,query_1,['KEGG:00000'],KEGG:05215,,
KEGG,KEGG:05213,Endometrial cancer,9.875567733663876e-10,True,Endometrial cancer,58,10,6,8484,0.6,0.10344827586206896,query_1,['KEGG:00000'],KEGG:05213,,
KEGG,KEGG:05226,Gastric cancer,3.0064358733533338e-09,True,Gastric cancer,148,10,7,8484,0.7,0.0472972972972973,query_1,['KEGG:00000'],KEGG:05226,,
KEGG,KEGG:04218,Cellular senescence,4.173032791683986e-09,True,Cellular senescence,155,10,7,8484,0.7,0.04516129032258064,query_1,['KEGG:00000'],KEGG:04218,,
GO:BP,GO:0051052,regulation of DNA metabolic process,4.856175551811432e-09,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]",500,10,8,21026,0.8,0.016,query_1,"['GO:0006259', 'GO:0019219', 'GO:0060255']",GO:0051052,,
KEGG,KEGG:05214,Glioma,4.879105171377806e-09,True,Glioma,75,10,6,8484,0.6,0.08,query_1,['KEGG:00000'],KEGG:05214,,
KEGG,KEGG:05212,Pancreatic cancer,5.295157816052441e-09,True,Pancreatic cancer,76,10,6,8484,0.6,0.07894736842105263,query_1,['KEGG:00000'],KEGG:05212,,
KEGG,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,6.724299523511669e-09,True,EGFR tyrosine kinase inhibitor resistance,79,10,6,8484,0.6,0.0759493670886076,query_1,['KEGG:00000'],KEGG:01521,,
KEGG,KEGG:05225,Hepatocellular carcinoma,6.782529977699404e-09,True,Hepatocellular carcinoma,166,10,7,8484,0.7,0.04216867469879518,query_1,['KEGG:00000'],KEGG:05225,,
KEGG,KEGG:05200,Pathways in cancer,7.484197066051313e-09,True,Pathways in cancer,527,10,9,8484,0.9,0.017077798861480076,query_1,['KEGG:00000'],KEGG:05200,,
KEGG,KEGG:05206,MicroRNAs in cancer,7.5344261870449e-09,True,MicroRNAs in cancer,310,10,8,8484,0.8,0.025806451612903226,query_1,['KEGG:00000'],KEGG:05206,,
KEGG,KEGG:05210,Colorectal cancer,1.1341306582918165e-08,True,Colorectal cancer,86,10,6,8484,0.6,0.06976744186046512,query_1,['KEGG:00000'],KEGG:05210,,
GO:BP,GO:0051054,positive regulation of DNA metabolic process,1.2189926618310897e-08,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]",291,10,7,21026,0.7,0.024054982817869417,query_1,"['GO:0006259', 'GO:0010604', 'GO:0045935', 'GO:0051052']",GO:0051054,,
KEGG,KEGG:05165,Human papillomavirus infection,1.2439435177027098e-08,True,Human papillomavirus infection,330,10,8,8484,0.8,0.024242424242424242,query_1,['KEGG:00000'],KEGG:05165,,
GO:BP,GO:0033554,cellular response to stress,2.835812844518476e-08,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",1830,10,10,21026,1.0,0.00546448087431694,query_1,"['GO:0006950', 'GO:0051716']",GO:0033554,,
KEGG,KEGG:05205,Proteoglycans in cancer,3.007996096564947e-08,True,Proteoglycans in cancer,205,10,7,8484,0.7,0.03414634146341464,query_1,['KEGG:00000'],KEGG:05205,,
KEGG,KEGG:05219,Bladder cancer,3.1111344796489615e-08,True,Bladder cancer,41,10,5,8484,0.5,0.12195121951219512,query_1,['KEGG:00000'],KEGG:05219,,
KEGG,KEGG:05163,Human cytomegalovirus infection,5.4366047506782695e-08,True,Human cytomegalovirus infection,223,10,7,8484,0.7,0.03139013452914798,query_1,['KEGG:00000'],KEGG:05163,,
GO:BP,GO:0018193,peptidyl-amino acid modification,6.092214965319775e-08,True,"""The alteration of an amino acid residue in a peptide."" [GOC:mah]",686,10,8,21026,0.8,0.011661807580174927,query_1,['GO:0036211'],GO:0018193,,
GO:BP,GO:0018105,peptidyl-serine phosphorylation,6.998523344841719e-08,True,"""The phosphorylation of peptidyl-serine to form peptidyl-O-phospho-L-serine."" [RESID:AA0037]",174,10,6,21026,0.6,0.034482758620689655,query_1,"['GO:0006468', 'GO:0018209']",GO:0018105,,
REAC,REAC:R-HSA-212436,Generic Transcription Pathway,8.364554278672953e-08,True,Generic Transcription Pathway,1234,10,10,11004,1.0,0.008103727714748784,query_1,['REAC:R-HSA-73857'],REAC:R-HSA-212436,,
GO:BP,GO:0018209,peptidyl-serine modification,1.0480901355706299e-07,True,"""The modification of peptidyl-serine."" [GOC:go_curators]",186,10,6,21026,0.6,0.03225806451612903,query_1,['GO:0018193'],GO:0018209,,
GO:BP,GO:0000082,G1/S transition of mitotic cell cycle,1.726296243292935e-07,True,"""The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated."" [GOC:mtg_cell_cycle]",202,10,6,21026,0.6,0.0297029702970297,query_1,"['GO:0044772', 'GO:0044843']",GO:0000082,,
GO:BP,GO:0044772,mitotic cell cycle phase transition,1.8259037577042271e-07,True,"""The cell cycle process by which a cell commits to entering the next mitotic cell cycle phase."" [GOC:mtg_cell_cycle]",428,10,7,21026,0.7,0.016355140186915886,query_1,"['GO:0044770', 'GO:1903047']",GO:0044772,,
REAC,REAC:R-HSA-73857,RNA Polymerase II Transcription,2.1384809541224098e-07,True,RNA Polymerase II Transcription,1355,10,10,11004,1.0,0.007380073800738007,query_1,['REAC:R-HSA-74160'],REAC:R-HSA-73857,,
GO:BP,GO:0044843,cell cycle G1/S phase transition,3.778929297396431e-07,True,"""The cell cycle process by which a cell in G1 phase commits to S phase."" [GOC:mtg_cell_cycle]",230,10,6,21026,0.6,0.02608695652173913,query_1,['GO:0044770'],GO:0044843,,
KEGG,KEGG:05160,Hepatitis C,4.597552047715236e-07,True,Hepatitis C,158,10,6,8484,0.6,0.0379746835443038,query_1,['KEGG:00000'],KEGG:05160,,
GO:BP,GO:0051128,regulation of cellular component organization,4.923144791497702e-07,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2433,10,10,21026,1.0,0.004110152075626798,query_1,"['GO:0016043', 'GO:0050794']",GO:0051128,,
KEGG,KEGG:05218,Melanoma,5.720379785215758e-07,True,Melanoma,72,10,5,8484,0.5,0.06944444444444445,query_1,['KEGG:00000'],KEGG:05218,,
REAC,REAC:R-HSA-74160,Gene expression (Transcription),6.683219977960429e-07,True,Gene expression (Transcription),1518,10,10,11004,1.0,0.006587615283267457,query_1,['REAC:0000000'],REAC:R-HSA-74160,,
GO:BP,GO:0044770,cell cycle phase transition,8.34077644200428e-07,True,"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]",532,10,7,21026,0.7,0.013157894736842105,query_1,['GO:0022402'],GO:0044770,,
KEGG,KEGG:04012,ErbB signaling pathway,1.2547185861590767e-06,True,ErbB signaling pathway,84,10,5,8484,0.5,0.05952380952380952,query_1,['KEGG:00000'],KEGG:04012,,
GO:BP,GO:0006259,DNA metabolic process,1.273587875794111e-06,True,"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]",1005,10,8,21026,0.8,0.007960199004975124,query_1,['GO:0090304'],GO:0006259,,
KEGG,KEGG:05167,Kaposi sarcoma-associated herpesvirus infection,1.5804593976442504e-06,True,Kaposi sarcoma-associated herpesvirus infection,194,10,6,8484,0.6,0.030927835051546393,query_1,['KEGG:00000'],KEGG:05167,,
GO:BP,GO:0051247,positive regulation of protein metabolic process,1.6585115955524212e-06,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]",1039,10,8,21026,0.8,0.007699711260827719,query_1,"['GO:0010604', 'GO:0019538', 'GO:0051246']",GO:0051247,,
KEGG,KEGG:05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,1.6828076902574882e-06,True,PD-L1 expression and PD-1 checkpoint pathway in cancer,89,10,5,8484,0.5,0.056179775280898875,query_1,['KEGG:00000'],KEGG:05235,,
KEGG,KEGG:05222,Small cell lung cancer,1.9907852440672806e-06,True,Small cell lung cancer,92,10,5,8484,0.5,0.05434782608695652,query_1,['KEGG:00000'],KEGG:05222,,
GO:BP,GO:0040008,regulation of growth,2.019051594501147e-06,True,"""Any process that modulates the frequency, rate or extent of the growth of all or part of an organism so that it occurs at its proper speed, either globally or in a specific part of the organism's development."" [GOC:ems, GOC:mah]",604,10,7,21026,0.7,0.011589403973509934,query_1,"['GO:0040007', 'GO:0050789']",GO:0040008,,
KEGG,KEGG:01522,Endocrine resistance,2.3420614648096965e-06,True,Endocrine resistance,95,10,5,8484,0.5,0.05263157894736842,query_1,['KEGG:00000'],KEGG:01522,,
KEGG,KEGG:05207,Chemical carcinogenesis - receptor activation,2.6144506526774284e-06,True,Chemical carcinogenesis - receptor activation,211,10,6,8484,0.6,0.02843601895734597,query_1,['KEGG:00000'],KEGG:05207,,
GO:BP,GO:0031401,positive regulation of protein modification process,2.9229229174689408e-06,True,"""Any process that activates or increases the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]",637,10,7,21026,0.7,0.01098901098901099,query_1,"['GO:0031399', 'GO:0036211', 'GO:0051247']",GO:0031401,,
GO:BP,GO:1901990,regulation of mitotic cell cycle phase transition,3.1322897755202967e-06,True,"""Any process that modulates the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]",327,10,6,21026,0.6,0.01834862385321101,query_1,"['GO:0007346', 'GO:0044772', 'GO:1901987']",GO:1901990,,
GO:MF,GO:0042802,identical protein binding,3.152017053231876e-06,True,"""Binding to an identical protein or proteins."" [GOC:jl]",2182,10,9,20246,0.9,0.004124656278643446,query_1,['GO:0005515'],GO:0042802,,
KEGG,KEGG:05166,Human T-cell leukemia virus 1 infection,3.1781834725600278e-06,True,Human T-cell leukemia virus 1 infection,218,10,6,8484,0.6,0.027522935779816515,query_1,['KEGG:00000'],KEGG:05166,,
GO:BP,GO:0051246,regulation of protein metabolic process,3.4066316168153315e-06,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]",1855,10,9,21026,0.9,0.004851752021563342,query_1,"['GO:0019538', 'GO:0060255', 'GO:0080090']",GO:0051246,,
GO:BP,GO:0009628,response to abiotic stimulus,3.558292314404498e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1144,10,8,21026,0.8,0.006993006993006993,query_1,['GO:0050896'],GO:0009628,,
GO:BP,GO:0035556,intracellular signal transduction,3.5687257822839296e-06,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2965,10,10,21026,1.0,0.003372681281618887,query_1,['GO:0007165'],GO:0035556,,
GO:BP,GO:0072359,circulatory system development,3.58301049580204e-06,True,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",1145,10,8,21026,0.8,0.0069868995633187774,query_1,['GO:0048731'],GO:0072359,,
GO:BP,GO:0104004,cellular response to environmental stimulus,3.887100860332993e-06,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an environmental stimulus."" [GOC:dos]",339,10,6,21026,0.6,0.017699115044247787,query_1,['GO:0051716'],GO:0104004,,
GO:BP,GO:0071214,cellular response to abiotic stimulus,3.887100860332993e-06,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (non-living) stimulus."" [GOC:mah]",339,10,6,21026,0.6,0.017699115044247787,query_1,"['GO:0009628', 'GO:0104004']",GO:0071214,,
GO:BP,GO:0141124,intracellular signaling cassette,4.463960888216811e-06,True,"""An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways."" [GOC:ha, GOC:pg]",1912,10,9,21026,0.9,0.004707112970711297,query_1,['GO:0035556'],GO:0141124,,
KEGG,KEGG:04066,HIF-1 signaling pathway,4.689753457896997e-06,True,HIF-1 signaling pathway,109,10,5,8484,0.5,0.045871559633027525,query_1,['KEGG:00000'],KEGG:04066,,
GO:BP,GO:0006915,apoptotic process,4.698584922127677e-06,True,"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",1923,10,9,21026,0.9,0.0046801872074883,query_1,['GO:0012501'],GO:0006915,,
GO:BP,GO:0036294,cellular response to decreased oxygen levels,4.757546885294532e-06,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]",149,10,5,21026,0.5,0.03355704697986577,query_1,"['GO:0036293', 'GO:0071453']",GO:0036294,,
GO:BP,GO:0042063,gliogenesis,4.869315160629946e-06,True,"""The process that results in the generation of glial cells. This includes the production of glial progenitors and their differentiation into mature glia."" [GOC:dgh, GOC:jid]",352,10,6,21026,0.6,0.017045454545454544,query_1,['GO:0022008'],GO:0042063,,
GO:BP,GO:2000045,regulation of G1/S transition of mitotic cell cycle,4.920619741680551e-06,True,"""Any signaling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]",150,10,5,21026,0.5,0.03333333333333333,query_1,"['GO:0000082', 'GO:1901990', 'GO:1902806']",GO:2000045,,
REAC,REAC:R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,4.931829285944457e-06,True,Diseases of signal transduction by growth factor receptors and second messengers,444,10,7,11004,0.7,0.015765765765765764,query_1,['REAC:R-HSA-1643685'],REAC:R-HSA-5663202,,
GO:BP,GO:1902531,regulation of intracellular signal transduction,5.394991987545321e-06,True,"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",1953,10,9,21026,0.9,0.004608294930875576,query_1,"['GO:0009966', 'GO:0035556']",GO:1902531,,
REAC,REAC:R-HSA-6804757,Regulation of TP53 Degradation,5.488387204389023e-06,True,Regulation of TP53 Degradation,36,10,4,11004,0.4,0.1111111111111111,query_1,['REAC:R-HSA-6806003'],REAC:R-HSA-6804757,,
REAC,REAC:R-HSA-6806003,Regulation of TP53 Expression and Degradation,6.150956081481477e-06,True,Regulation of TP53 Expression and Degradation,37,10,4,11004,0.4,0.10810810810810811,query_1,['REAC:R-HSA-5633007'],REAC:R-HSA-6806003,,
GO:BP,GO:0006468,protein phosphorylation,6.195914615025484e-06,True,"""The process of introducing a phosphate group on to a protein."" [GOC:hb]",1227,10,8,21026,0.8,0.006519967400162999,query_1,"['GO:0016310', 'GO:0036211']",GO:0006468,,
GO:BP,GO:0012501,programmed cell death,6.293590948507248e-06,True,"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]",1987,10,9,21026,0.9,0.004529441368897836,query_1,['GO:0008219'],GO:0012501,,
GO:BP,GO:0008219,cell death,6.407573845055151e-06,True,"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]",1991,10,9,21026,0.9,0.0045203415369161224,query_1,['GO:0009987'],GO:0008219,,
GO:BP,GO:0060429,epithelium development,6.6493110551090275e-06,True,"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]",1238,10,8,21026,0.8,0.006462035541195477,query_1,['GO:0009888'],GO:0060429,,
GO:BP,GO:0010564,regulation of cell cycle process,6.8423125843092285e-06,True,"""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]",720,10,7,21026,0.7,0.009722222222222222,query_1,"['GO:0022402', 'GO:0051726']",GO:0010564,,
REAC,REAC:R-HSA-1257604,PIP3 activates AKT signaling,7.263674824248093e-06,True,PIP3 activates AKT signaling,252,10,6,11004,0.6,0.023809523809523808,query_1,['REAC:R-HSA-9006925'],REAC:R-HSA-1257604,,
GO:BP,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,7.821874080658295e-06,True,"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",2036,10,9,21026,0.9,0.0044204322200392925,query_1,"['GO:0006139', 'GO:0009893', 'GO:0019219']",GO:0045935,,
REAC,REAC:R-HSA-2262752,Cellular responses to stress,7.864014168651198e-06,True,Cellular responses to stress,796,10,8,11004,0.8,0.010050251256281407,query_1,['REAC:R-HSA-8953897'],REAC:R-HSA-2262752,,
KEGG,KEGG:04919,Thyroid hormone signaling pathway,7.932608623878598e-06,True,Thyroid hormone signaling pathway,121,10,5,8484,0.5,0.04132231404958678,query_1,['KEGG:00000'],KEGG:04919,,
GO:BP,GO:0071453,cellular response to oxygen levels,7.950022483631923e-06,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:mah]",165,10,5,21026,0.5,0.030303030303030304,query_1,"['GO:0070482', 'GO:0070887']",GO:0071453,,
GO:BP,GO:1903047,mitotic cell cycle process,8.669621538659783e-06,True,"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]",745,10,7,21026,0.7,0.009395973154362415,query_1,"['GO:0000278', 'GO:0022402']",GO:1903047,,
REAC,REAC:R-HSA-8953897,Cellular responses to stimuli,9.024766963951342e-06,True,Cellular responses to stimuli,810,10,8,11004,0.8,0.009876543209876543,query_1,['REAC:0000000'],REAC:R-HSA-8953897,,
