gene,source,term_id,term_name
TP53,GO:BP,GO:0000122,negative regulation of transcription by RNA polymerase II
TP53,GO:BP,GO:0000122,negative regulation of transcription by RNA polymerase II
TP53,GO:BP,GO:0000122,negative regulation of transcription by RNA polymerase II
TP53,GO:BP,GO:0000423,mitophagy
TP53,GO:BP,GO:0001701,in utero embryonic development
TP53,GO:BP,GO:0001756,somitogenesis
TP53,GO:BP,GO:0001836,release of cytochrome c from mitochondria
TP53,GO:BP,GO:0002244,hematopoietic progenitor cell differentiation
TP53,GO:BP,GO:0002309,T cell proliferation involved in immune response
TP53,GO:BP,GO:0002326,B cell lineage commitment
TP53,GO:BP,GO:0002360,T cell lineage commitment
TP53,GO:BP,GO:0002931,response to ischemia
TP53,GO:BP,GO:0006289,nucleotide-excision repair
TP53,GO:BP,GO:0006302,double-strand break repair
TP53,GO:BP,GO:0006355,regulation of DNA-templated transcription
TP53,GO:BP,GO:0006355,regulation of DNA-templated transcription
TP53,GO:BP,GO:0006355,regulation of DNA-templated transcription
TP53,GO:BP,GO:0006355,regulation of DNA-templated transcription
TP53,GO:BP,GO:0006357,regulation of transcription by RNA polymerase II
TP53,GO:BP,GO:0006357,regulation of transcription by RNA polymerase II
TP53,GO:BP,GO:0006606,protein import into nucleus
TP53,GO:BP,GO:0006914,autophagy
TP53,GO:BP,GO:0006915,apoptotic process
TP53,GO:BP,GO:0006915,apoptotic process
TP53,GO:BP,GO:0006974,DNA damage response
TP53,GO:BP,GO:0006974,DNA damage response
TP53,GO:BP,GO:0006974,DNA damage response
TP53,GO:BP,GO:0006974,DNA damage response
TP53,GO:BP,GO:0006979,response to oxidative stress
TP53,GO:BP,GO:0006979,response to oxidative stress
TP53,GO:BP,GO:0006983,ER overload response
TP53,GO:BP,GO:0007179,transforming growth factor beta receptor signaling pathway
TP53,GO:BP,GO:0007265,Ras protein signal transduction
TP53,GO:BP,GO:0007346,regulation of mitotic cell cycle
TP53,GO:BP,GO:0007369,gastrulation
TP53,GO:BP,GO:0007405,neuroblast proliferation
TP53,GO:BP,GO:0007406,negative regulation of neuroblast proliferation
TP53,GO:BP,GO:0007417,central nervous system development
TP53,GO:BP,GO:0007507,heart development
TP53,GO:BP,GO:0007623,circadian rhythm
TP53,GO:BP,GO:0008104,intracellular protein localization
TP53,GO:BP,GO:0008156,negative regulation of DNA replication
TP53,GO:BP,GO:0008283,cell population proliferation
TP53,GO:BP,GO:0008285,negative regulation of cell population proliferation
TP53,GO:BP,GO:0008285,negative regulation of cell population proliferation
TP53,GO:BP,GO:0008285,negative regulation of cell population proliferation
TP53,GO:BP,GO:0008285,negative regulation of cell population proliferation
TP53,GO:BP,GO:0008285,negative regulation of cell population proliferation
TP53,GO:BP,GO:0008340,determination of adult lifespan
TP53,GO:BP,GO:0008340,determination of adult lifespan
TP53,GO:BP,GO:0009299,mRNA transcription
TP53,GO:BP,GO:0009303,rRNA transcription
TP53,GO:BP,GO:0009410,response to xenobiotic stimulus
TP53,GO:BP,GO:0009410,response to xenobiotic stimulus
TP53,GO:BP,GO:0009411,response to UV
TP53,GO:BP,GO:0009411,response to UV
TP53,GO:BP,GO:0009651,response to salt stress
TP53,GO:BP,GO:0009792,embryo development ending in birth or egg hatching
TP53,GO:BP,GO:0010165,response to X-ray
TP53,GO:BP,GO:0010212,response to ionizing radiation
TP53,GO:BP,GO:0010332,response to gamma radiation
TP53,GO:BP,GO:0010332,response to gamma radiation
TP53,GO:BP,GO:0010628,positive regulation of gene expression
TP53,GO:BP,GO:0010628,positive regulation of gene expression
TP53,GO:BP,GO:0010628,positive regulation of gene expression
TP53,GO:BP,GO:0010629,negative regulation of gene expression
TP53,GO:BP,GO:0010659,cardiac muscle cell apoptotic process
TP53,GO:BP,GO:0010666,positive regulation of cardiac muscle cell apoptotic process
TP53,GO:BP,GO:0012501,programmed cell death
TP53,GO:BP,GO:0014009,glial cell proliferation
TP53,GO:BP,GO:0016032,viral process
TP53,GO:BP,GO:0019661,glucose catabolic process to lactate via pyruvate
TP53,GO:BP,GO:0021549,cerebellum development
TP53,GO:BP,GO:0030308,negative regulation of cell growth
TP53,GO:BP,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
TP53,GO:BP,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
TP53,GO:BP,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
TP53,GO:BP,GO:0030512,negative regulation of transforming growth factor beta receptor signaling pathway
TP53,GO:BP,GO:0031571,mitotic G1 DNA damage checkpoint signaling
TP53,GO:BP,GO:0031571,mitotic G1 DNA damage checkpoint signaling
TP53,GO:BP,GO:0032211,negative regulation of telomere maintenance via telomerase
TP53,GO:BP,GO:0033077,T cell differentiation in thymus
TP53,GO:BP,GO:0033209,tumor necrosis factor-mediated signaling pathway
TP53,GO:BP,GO:0033554,cellular response to stress
TP53,GO:BP,GO:0034103,regulation of tissue remodeling
TP53,GO:BP,GO:0034644,cellular response to UV
TP53,GO:BP,GO:0034644,cellular response to UV
TP53,GO:BP,GO:0035264,multicellular organism growth
TP53,GO:BP,GO:0035794,positive regulation of mitochondrial membrane permeability
TP53,GO:BP,GO:0042127,regulation of cell population proliferation
